tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_ht,winner_age,loser_id,loser_name,loser_ht,loser_age,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2010-580,Australian Open,Hard,G,20100118,18,103843,Marco Chiudinelli,185.0,28.3559206023,104594,Marinko Matosevic,194.0,24.4462696783,7-6(7) 7-6(3) 4-6 6-3,4.0,3.0,135.0,79.0,57.0,28.0,21.0,7.0,12.0,11.0,5.0,141.0,79.0,46.0,38.0,22.0,6.0,12.0,58.0,775.0,180.0,270.0
2010-580,Australian Open,Hard,G,20100118,19,103582,Michael Berrer,193.0,29.5496235455,104019,Kristof Vliegen,193.0,27.575633128,6-1 6-2 6-1,10.0,4.0,54.0,38.0,35.0,9.0,11.0,0.0,0.0,5.0,4.0,79.0,54.0,29.0,6.0,11.0,7.0,14.0,66.0,653.0,112.0,485.0
2010-580,Australian Open,Hard,G,20100118,20,104797,Denis Istomin,188.0,23.3648186174,104871,Jeremy Chardy,188.0,22.932238193,6-2 6-2 6-0,6.0,2.0,66.0,40.0,33.0,17.0,11.0,1.0,1.0,5.0,7.0,61.0,30.0,18.0,11.0,11.0,5.0,12.0,103.0,515.0,34.0,1090.0
2010-580,Australian Open,Hard,G,20100118,21,104022,Mikhail Youzhny,183.0,27.5674195756,104755,Richard Gasquet,185.0,23.5865845311,6-7(9) 4-6 7-6(2) 7-6(4) 6-4,12.0,8.0,188.0,111.0,79.0,40.0,28.0,10.0,16.0,8.0,9.0,179.0,105.0,81.0,30.0,28.0,4.0,10.0,20.0,1690.0,52.0,865.0
2010-580,Australian Open,Hard,G,20100118,22,104225,Jan Hajek,180.0,26.4503764545,104068,Robby Ginepri,183.0,27.2826830938,7-6(2) 7-5 6-1,3.0,3.0,109.0,73.0,51.0,19.0,16.0,6.0,8.0,6.0,3.0,116.0,73.0,46.0,17.0,15.0,8.0,13.0,92.0,546.0,99.0,529.0
2010-580,Australian Open,Hard,G,20100118,23,103997,Lukasz Kubot,190.0,27.6769336071,104999,Mischa Zverev,190.0,22.4093086927,6-3 6-3 6-3,5.0,3.0,71.0,45.0,31.0,18.0,13.0,1.0,3.0,12.0,3.0,94.0,48.0,30.0,18.0,14.0,4.0,11.0,86.0,573.0,78.0,590.0
2010-580,Australian Open,Hard,G,20100118,24,105053,Santiago Giraldo,188.0,22.1437371663,103990,Tommy Robredo,180.0,27.7180013689,6-4 6-2 6-2,2.0,0.0,74.0,40.0,32.0,23.0,13.0,2.0,2.0,2.0,6.0,93.0,53.0,32.0,18.0,13.0,8.0,12.0,114.0,483.0,16.0,2175.0
2010-580,Australian Open,Hard,G,20100118,25,104542,Jo-Wilfried Tsonga,188.0,24.7556468172,104660,Sergiy Stakhovsky,193.0,24.0328542094,6-3 6-4 6-4,15.0,1.0,87.0,57.0,47.0,15.0,15.0,4.0,6.0,4.0,6.0,94.0,57.0,36.0,17.0,14.0,5.0,10.0,10.0,2875.0,62.0,708.0
2010-580,Australian Open,Hard,G,20100118,26,103758,Taylor Dent,188.0,28.7364818617,104926,Fabio Fognini,178.0,22.6557152635,6-1 6-3 6-3,6.0,3.0,73.0,39.0,31.0,15.0,13.0,5.0,8.0,2.0,7.0,60.0,26.0,13.0,11.0,12.0,4.0,12.0,79.0,588.0,56.0,790.0
2010-580,Australian Open,Hard,G,20100118,27,104386,Janko Tipsarevic,180.0,25.5742642026,105992,Ryan Harrison,183.0,17.7002053388,6-2 6-4 7-6(3),10.0,5.0,122.0,75.0,49.0,28.0,15.0,9.0,11.0,5.0,9.0,121.0,65.0,41.0,25.0,15.0,14.0,18.0,36.0,1060.0,341.0,119.0
